Noun_plural_form_from_corpus,Plural_form_errors_in_count_context_from_corpus,Type,Condition_label,Intervening_noun_base_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Numeral,Condition_beginning,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Final_sentence,Target_noun_after_final_sentence,All_audio_files_original_name,Output_audio_file_partial_filename,Number_of_words_in_condition
месеци,214,target1,A,време,n,sg,m,pl,В паметта на човека изплуваха,два,изминали,месец,месеци,месеца,,A,В паметта на човека изплуваха два изминали,месец,STE-001_mono.wav,target1_A_месец_два_A,1
месеци,214,target1,APN,време,n,sg,m,pl,В паметта на човека изплуваха,два,изминали преди време,месец,месеци,месеца,,B,В паметта на човека изплуваха два изминали преди време,месец,STE-002_mono.wav,target1_APN_месец_два_B,3
месеци,214,target1,APAdvAN,време,n,sg,m,pl,В паметта на човека изплуваха,два,изминали преди много дълго време,месец,месеци,месеца,,C,В паметта на човека изплуваха два изминали преди много дълго време,месец,STE-003_mono.wav,target1_APAdvAN_месец_два_C,5
кладенци,97,target1,A,камъче,n,sg,m,pl,Като мираж в пустинята проблясваха,три,пълни,кладенец,кладенци,кладенеца,,C,Като мираж в пустинята проблясваха три пълни,кладенец,STE-004_mono.wav,target1_A_кладенец_три_C,1
кладенци,97,target1,APN,камъче,n,sg,m,pl,Като мираж в пустинята проблясваха,три,пълни с камъчета,кладенец,кладенци,кладенеца,,A,Като мираж в пустинята проблясваха три пълни с камъчета,кладенец,STE-005_mono.wav,target1_APN_кладенец_три_A,3
кладенци,97,target1,APAdvAN,камъче,n,sg,m,pl,Като мираж в пустинята проблясваха,три,пълни с много бляскави камъчета,кладенец,кладенци,кладенеца,,B,Като мираж в пустинята проблясваха три пълни с много бляскави камъчета,кладенец,STE-006_mono.wav,target1_APAdvAN_кладенец_три_B,5
градове,62,target1,A,туристка,f,sg,m,pl,В страната процъфтяваха,два,посещавани ,град,градове,града,,B,В страната процъфтяваха два посещавани,град,STE-007_mono.wav,target1_A_град_два_B,1
градове,62,target1,APN,туристка,f,sg,m,pl,В страната процъфтяваха,два,посещавани от туристката,град,градове,града,,C,В страната процъфтяваха два посещавани от туристката,град,STE-008_mono.wav,target1_APN_град_два_C,3
градове,62,target1,APAdvAN,туристка,f,sg,m,pl,В страната процъфтяваха,два,посещавани от много заинтересoваната туристка,град,градове,града,,A,В страната процъфтяваха два посещавани от много заинтересoваната туристка,град,STE-009_mono.wav,target1_APAdvAN_град_два_A,5
товари,60,target1,A,кола,f,sg,m,pl,Сутринта пристигнаха,три,превозeни,товар,товари,товара,,A,Сутринта пристигнаха три превозeни,товар,STE-010_mono.wav,target1_A_товар_три_A,1
товари,60,target1,APN,кола,f,sg,m,pl,Сутринта пристигнаха,три,превозeни от колата,товар,товари,товара,,B,Сутринта пристигнаха три превозeни от колата,товар,STE-011_mono.wav,target1_APN_товар_три_B,3
товари,60,target1,APAdvAN,кола,f,sg,m,pl,Сутринта пристигнаха,три,превозeни от много голямата кола,товар,товари,товара,,C,Сутринта пристигнаха три превозeни от много голямата кола,товар,STE-012_mono.wav,target1_APAdvAN_товар_три_C,5
възли,48,target1,A,чистачка,f,sg,m,pl,На кораба пътниците впечатляваха,четири,направени,възел,възли,възела,възели,C,На кораба пътниците впечатляваха четири направени,възел,STE-013_mono.wav,target1_A_възел_четири_C,1
възли,48,target1,APN,чистачка,f,sg,m,pl,На кораба пътниците впечатляваха,четири,направени от чистачката,възел,възли,възела,възели,A,На кораба пътниците впечатляваха четири направени от чистачката,възел,STE-014_mono.wav,target1_APN_възел_четири_A,3
възли,48,target1,APAdvAN,чистачка,f,sg,m,pl,На кораба пътниците впечатляваха,четири,направени от много сръчната чистачка,възел,възли,възела,възели,B,На кораба пътниците впечатляваха четири направени от много сръчната чистачка,възел,STE-015_mono.wav,target1_APAdvAN_възел_четири_B,5
ъгли,46,target1,A,ученичка,f,sg,m,pl,На дъската учениците занимаваха,пет,начертани,ъгъл,ъгли,ъгъла,,B,На дъската учениците занимаваха пет начертани,ъгъл,STE-016_mono.wav,target1_A_ъгъл_пет_B,1
ъгли,46,target1,APN,ученичка,f,sg,m,pl,На дъската учениците занимаваха,пет,начертани от ученичката,ъгъл,ъгли,ъгъла,,C,На дъската учениците занимаваха пет начертани от ученичката,ъгъл,STE-017_mono.wav,target1_APN_ъгъл_пет_C,3
ъгли,46,target1,APAdvAN,ученичка,f,sg,m,pl,На дъската учениците занимаваха,пет,начертани от много ученолюбивата ученичка,ъгъл,ъгли,ъгъла,,A,На дъската учениците занимаваха пет начертани от много ученолюбивата ученичка,ъгъл,STE-018_mono.wav,target1_APAdvAN_ъгъл_пет_A,5
коне,38,target1,A,баба,f,sg,m,pl,От ранчото избягаха,шест,опитомени,кон,коне,коня,,A,От ранчото избягаха шест опитомени,кон,STE-019_mono.wav,target1_A_кон_шест_A,1
коне,38,target1,APN,баба,f,sg,m,pl,От ранчото избягаха,шест,опитомени от бабата,кон,коне,коня,,B,От ранчото избягаха шест опитомени от бабата,кон,STE-020_mono.wav,target1_APN_кон_шест_B,3
коне,38,target1,APAdvAN,баба,f,sg,m,pl,От ранчото избягаха,шест,опитомени от много старата баба,кон,коне,коня,,C,От ранчото избягаха шест опитомени от много старата баба,кон,STE-021_mono.wav,target1_APAdvAN_кон_шест_C,5
случаи,34,target1,A,професорка,f,sg,m,pl,На срещата публиката вълнуваха,седем,обсъждани,случай,случаи,случая,,C,На срещата публиката вълнуваха седем обсъждани,случай,STE-022_mono.wav,target1_A_случай_седем_C,1
случаи,34,target1,APN,професорка,f,sg,m,pl,На срещата публиката вълнуваха,седем,обсъждани от професорката,случай,случаи,случая,,A,На срещата публиката вълнуваха седем обсъждани от професорката,случай,STE-023_mono.wav,target1_APN_случай_седем_A,3
случаи,34,target1,APAdvAN,професорка,f,sg,m,pl,На срещата публиката вълнуваха,седем,обсъждани от много запознатата професорка,случай,случаи,случая,,B,На срещата публиката вълнуваха седем обсъждани от много запознатата професорка,случай,STE-024_mono.wav,target1_APAdvAN_случай_седем_B,5
венци,31,target1,A,вдовица,f,sg,m,pl,Главата на войника красяха,два,изплетени,венец,венци,венеца,,B,Главата на войника красяха два изплетени,венец,STE-025_mono.wav,target1_A_венец_два_B,1
венци,31,target1,APN,вдовица,f,sg,m,pl,Главата на войника красяха,два,изплетени от вдовицата,венец,венци,венеца,,C,Главата на войника красяха два изплетени от вдовицата,венец,STE-026_mono.wav,target1_APN_венец_два_C,3
венци,31,target1,APAdvAN,вдовица,f,sg,m,pl,Главата на войника красяха,два,изплетени от много добрата вдовица,венец,венци,венеца,,A,Главата на войника красяха два изплетени от много добрата вдовица,венец,STE-027_mono.wav,target1_APAdvAN_венец_два_A,5
критерии,30,target1,A,събрание,n,sg,m,pl,Следващите стъпки определиха ,четири,съществени,критерий,критерии,критерия,,A,Следващите стъпки определиха четири съществени,критерий,STE-028_mono.wav,target1_A_критерий_четири_A,1
